Sale_Date,Sales_Order_ID,SKU,Lot_ID,Attributed_Qty,Attributed_Unit_Price,Attributed_Freight_Cost_Per_Unit,Attributed_Total_Unit_Cost,Attributed_COGS,Attributed_COGS_Unit_Only,Attributed_COGS_Freight_Only,Status,Month
2025-07-31,MONTHLY_SUMMARY_20250731_1GLBD10354,1GLBD10354,903,493,3.16,0.96,4.12,2031.16,1557.88,473.28,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_1TCST1713B,1TCST1713B,938,773,1.60,2.60,4.20,3246.60,1236.80,2009.80,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_1WTCST1713,1WTCST1713,939,205,1.60,2.60,4.20,861.00,328.00,533.00,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_2GLBD10310,2GLBD10310,904,653,4.32,1.94,6.26,4087.78,2820.96,1266.82,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_2LSB151210,2LSB151210,927,267,3.35,0.74,4.09,1092.03,894.45,197.58,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_34CSK11055,34CSK11055,926,436,3.40,2.22,5.62,2450.32,1482.40,967.92,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_3GLBD16104,3GLBD16104,907,1122,5.70,2.33,8.03,9009.66,6395.40,2614.26,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_4PPB1261BH,4PPB1261BH,919,66,13.41,3.83,17.24,1137.84,885.06,252.78,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_5GBLNR1925,5GBLNR1925,846,280,3.00,1.12,4.12,1153.60,840.00,313.60,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_BPNLNRPD70,BPNLNRPD70,899,398,7.60,2.49,10.09,4015.82,3024.80,991.02,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_BTSB8FT2PK,BTSB8FT2PK,930,97,2.70,1.10,3.80,368.60,261.90,106.70,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS110342,CDPS110342,966,1786,1.83,1.09,2.92,5215.12,3268.38,1946.74,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS110462,CDPS110462,914,947,2.84,1.29,4.13,3911.11,2689.48,1221.63,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS50P385,CDPS50P385,889,19,1.59,0.34,1.93,36.67,30.21,6.46,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS510342,CDPS510342,967,212,8.35,4.90,13.25,2809.00,1770.20,1038.80,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS510342,CDPS510342,986,229,8.35,4.70,13.05,2988.45,1912.15,1076.30,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CDPS510462,CDPS510462,933,231,11.80,7.01,18.81,4345.11,2725.80,1619.31,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CLCDBEIGE1,CLCDBEIGE1,828,202,8.35,2.15,10.50,2121.00,1686.70,434.30,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CLCDLEOPR1,CLCDLEOPR1,894,102,8.35,1.23,9.58,977.16,851.70,125.46,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CMSB66297T,CMSB66297T,935,1112,0.88,0.20,1.08,1200.96,978.56,222.40,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP110342BK,CP110342BK,961,255,1.83,1.10,2.93,747.15,466.65,280.50,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP11034DDB,CP11034DDB,962,63,1.93,1.13,3.06,192.78,121.59,71.19,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP110DMH34,CP110DMH34,794,94,2.25,0.60,2.85,267.90,211.50,56.40,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP110TGR34,CP110TGR34,792,242,2.41,0.60,3.01,728.42,583.22,145.20,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP510DMH34,CP510DMH34,918,104,9.80,3.58,13.38,1391.52,1019.20,372.32,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP510TGR34,CP510TGR34,917,74,10.56,3.58,14.14,1046.36,781.44,264.92,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CP510TGR34,CP510TGR34,965,89,10.50,5.54,16.04,1427.56,934.50,493.06,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CRSB654243,CRSB654243,890,1863,1.30,0.33,1.63,3036.69,2421.90,614.79,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_CSK4611055,CSK4611055,934,395,4.60,9.39,13.99,5526.05,1817.00,3709.05,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DD22BKQGWH,DD22BKQGWH,842,30,11.40,6.42,17.82,534.60,342.00,192.60,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DD22BKSTWH,DD22BKSTWH,922,234,11.60,5.88,17.48,4090.32,2714.40,1375.92,Fulfilled,2025-07
2025-07-31,MONTHLY_SUMMARY_20250731_DD22WHBEBK,DD22WHBEBK,840,55,11.40,6.42,17.82,980.10,627.00,353.10,Fulfilled,2025-07
