Month,SKU,Total_Quantity_Sold,Total_COGS_Blended,Total_COGS_Unit_Only,Total_COGS_Freight_Only
2025-07,1GLBD10354,493,2031.16,1557.88,473.28
2025-07,1TCST1713B,773,3246.60,1236.80,2009.80
2025-07,1WTCST1713,205,861.00,328.00,533.00
2025-07,2GLBD10310,653,4087.78,2820.96,1266.82
2025-07,2LSB151210,267,1092.03,894.45,197.58
2025-07,34CSK11055,436,2450.32,1482.40,967.92
2025-07,3GLBD16104,1122,9009.66,6395.40,2614.26
2025-07,4PPB1261BH,66,1137.84,885.06,252.78
2025-07,5GBLNR1925,280,1153.60,840.00,313.60
2025-07,BPNLNRPD70,398,4015.82,3024.80,991.02
2025-07,BTSB8FT2PK,97,368.60,261.90,106.70
2025-07,CDPS110342,1786,5215.12,3268.38,1946.74
2025-07,CDPS110462,947,3911.11,2689.48,1221.63
2025-07,CDPS50P385,19,36.67,30.21,6.46
2025-07,CDPS510342,441,5797.45,3682.35,2115.10
2025-07,CDPS510462,231,4345.11,2725.80,1619.31
2025-07,CLCDBEIGE1,202,2121.00,1686.70,434.30
2025-07,CLCDLEOPR1,102,977.16,851.70,125.46
2025-07,CMSB66297T,1112,1200.96,978.56,222.40
2025-07,CP110342BK,255,747.15,466.65,280.50
2025-07,CP11034DDB,63,192.78,121.59,71.19
2025-07,CP110DMH34,94,267.90,211.50,56.40
2025-07,CP110TGR34,242,728.42,583.22,145.20
2025-07,CP510DMH34,104,1391.52,1019.20,372.32
2025-07,CP510TGR34,163,2473.92,1715.94,757.98
2025-07,CRSB654243,1863,3036.69,2421.90,614.79
2025-07,CSK4611055,395,5526.05,1817.00,3709.05
2025-07,DD22BKQGWH,30,534.60,342.00,192.60
2025-07,DD22BKSTWH,234,4090.32,2714.40,1375.92
2025-07,DD22WHBEBK,55,980.10,627.00,353.10
2025-07,DD22WHGMBL,25,445.50,285.00,160.50
2025-07,DDCL16BGYR,260,3242.20,2236.00,1006.20
2025-07,DDCL16PSTL,247,3047.98,2124.20,923.78
2025-07,DDCL20GRCS,135,2289.60,1417.50,872.10
2025-07,DDCL20OWCM,25,358.00,265.00,93.00
2025-07,DDCL22PXBK,2318,49514.77,24574.80,24939.97
2025-07,DDCL4P4LBK,342,1326.96,868.68,458.28
2025-07,DDCL4PWH4L,164,555.96,410.00,145.96
2025-07,DDCLBGYR4P,74,255.30,187.96,67.34
2025-07,DDCLWH22PX,379,6234.55,4206.90,2027.65
2025-07,DPOT1512WT,1,3.38,1.83,1.55
2025-07,ETKBK4P2ST,120,1850.40,1671.60,178.80
2025-07,FBPT4YL24P,604,6251.40,4282.36,1969.04
2025-07,FPBD1713BW,141,476.58,442.74,33.84
2025-07,FPBDMB1713,45,247.05,222.75,24.30
2025-07,FPBDMW1713,65,345.80,321.75,24.05
2025-07,FPBMB1713P,212,1726.25,1352.60,373.65
2025-07,FPBMW1713H,99,810.81,654.39,156.42
2025-07,GTBC131449,455,10078.25,7639.45,2438.80
2025-07,KSB10008015,540,1539.00,1215.00,324.00
2025-07,LCSB843216,298,1445.30,956.58,488.72
2025-07,LPGB60PC40,279,1099.26,892.80,206.46
2025-07,LPGB7260PC,220,1447.60,1148.40,299.20
2025-07,LPTSB11174,80,297.60,212.80,84.80
2025-07,LSSB686242,1502,3476.44,2883.84,592.60
2025-07,LTBD10577A,146,826.36,540.20,286.16
2025-07,OT1GLB1053,73,307.33,208.78,98.55
2025-07,OT2GLB1010,52,331.24,204.36,126.88
2025-07,OT3GLB1016,75,637.50,368.25,269.25
2025-07,PBSB582835,145,453.85,346.55,107.30
2025-07,PETS1KGRWB,612,7490.88,4896.00,2594.88
2025-07,PETS500FGR,4,32.20,20.00,12.20
2025-07,PPSB4P2212,1263,12238.47,5557.20,6681.27
2025-07,PPST1000BK,223,1429.43,925.45,503.98
2025-07,QSB1006415,925,2275.50,1748.25,527.25
2025-07,RSBL912130,916,1145.00,861.04,283.96
2025-07,RSBS692092,701,553.79,455.65,98.14
2025-07,RTPBMB177H,145,2141.65,1854.55,287.10
2025-07,SFSB966242,2815,8473.15,7093.80,1379.35
2025-07,STBD10555A,181,852.19,601.29,250.90
2025-07,TBDCL10105,698,6803.21,4683.58,2119.63
2025-07,TCST17132B,310,1329.90,784.30,545.60
2025-07,TWBD1064BK,334,1412.82,1072.14,340.68
2025-07,TWSB954215,543,923.10,738.48,184.62
2025-07,USBL1215ZL,49,107.80,83.79,24.01
2025-07,USBS7115ZL,173,276.80,207.60,69.20
2025-07,WVST1000WH,118,1677.96,1392.40,285.56
