Lot_ID,PO_Number,SKU,Received_Date,Original_Unit_Qty,Unit_Price,Freight_Cost_Per_Unit,Remaining_Unit_Qty,Total_Lot_Cost
903,ST0205,1GLBD10354,2025-02-04,1920,3.16,0.96,539,7910.40
981,ST0263,1GLBD10354,2025-07-01,2400,3.16,1.12,2400,10272.00
938,ST0240,1TCST1713B,2025-05-26,2016,1.60,2.60,1160,8467.20
939,ST0241,1WTCST1713,2025-05-26,1440,1.60,2.60,1182,6048.00
904,ST0206,2GLBD10310,2025-02-04,4096,4.32,1.94,2839,25640.96
982,ST0264,2GLBD10310,2025-07-01,2304,4.32,2.28,2304,15206.40
927,ST0229,2LSB151210,2025-05-29,2004,3.35,0.74,1737,8196.36
926,ST0228,34CSK11055,2025-03-28,3600,3.40,2.22,1528,20232.00
859,ST0160,34CSK11055,2025-10-03,1260,3.00,2.65,1260,7119.00
907,ST0209,3GLBD16104,2025-02-19,4000,5.70,2.33,501,32120.00
921,ST0223,3GLBD16104,2025-03-30,3800,5.70,2.66,3800,31768.00
919,ST0221,4PPB1261BH,2025-04-02,1500,13.41,3.83,1256,25860.00
846,ST0147,5GBLNR1925,2024-11-07,3030,3.00,1.12,1412,12483.60
899,ST0201,BPNLNRPD70,2025-02-12,1060,7.60,2.49,662,10695.40
930,ST0232,BTSB8FT2PK,2025-05-14,1005,2.70,1.10,908,3819.00
966,ST0255,CDPS110342,2025-06-12,2880,1.83,1.09,1094,8409.60
985,ST0269,CDPS110342,2025-07-01,5760,1.83,1.06,5760,16646.40
857,ST0158,CDPS110342,2025-10-03,3840,1.93,0.71,3042,10137.60
914,ST0216,CDPS110462,2025-02-24,3072,2.84,1.29,554,12687.36
932,ST0234,CDPS110462,2025-05-18,4224,2.70,1.75,4224,18796.80
889,ST0191,CDPS50P385,2025-01-17,384,1.59,0.34,219,741.12
967,ST0256,CDPS510342,2025-06-12,504,8.35,4.90,0,6678.00
986,ST0270,CDPS510342,2025-07-01,1512,8.35,4.70,1266,19731.60
858,ST0159,CDPS510342,2025-10-03,1008,9.02,3.08,1008,12196.80
933,ST0235,CDPS510462,2025-05-18,1080,11.80,7.01,849,20314.80
991,ST0279,CDPS510462,2025-07-01,390,11.80,5.06,390,6575.40
993,ST0281,CDSL510342,2025-08-01,48,8.90,8.33,48,827.04
828,ST0129,CLCDBEIGE1,2024-08-30,2002,8.35,2.15,216,21021.00
893,ST0195,CLCDBEIGE1,2025-03-05,2002,8.35,1.75,2002,20220.20
894,ST0196,CLCDLEOPR1,2025-03-05,1008,8.35,1.23,667,9656.64
935,ST0237,CMSB66297T,2025-05-15,3840,0.88,0.20,2728,4147.20
961,ST0250,CP110342BK,2025-06-12,1440,1.83,1.10,1185,4219.20
962,ST0251,CP11034DDB,2025-06-12,480,1.93,1.13,417,1468.80
794,ST0095,CP110DMH34,2024-04-26,3780,2.25,0.60,2170,10773.00
792,ST0093,CP110TGR34,2024-04-26,3780,2.41,0.60,806,11377.80
964,ST0253,CP110TGR34,2025-06-12,1620,2.40,1.26,1620,5929.20
918,ST0220,CP510DMH34,2025-03-03,600,9.80,3.58,345,8028.00
994,ST0282,CP510DMH34,2025-07-01,600,9.50,3.04,600,7524.00
917,ST0219,CP510TGR34,2025-03-03,600,10.56,3.58,0,8484.00
965,ST0254,CP510TGR34,2025-06-12,672,10.50,5.54,583,10778.88
995,ST0283,CP510TGR34,2025-07-31,600,10.50,2.75,600,7950.00
738,ST0039,CRNR3TDSBW,2023-08-02,1504,4.80,0.47,9,7926.08
890,ST0192,CRSB654243,2025-01-23,9000,1.30,0.33,729,14670.00
980,ST0262,CRSB654243,2025-07-01,6000,1.28,0.34,6000,9720.00
934,ST0236,CSK4611055,2025-05-06,2376,4.60,9.39,1981,33240.24
842,ST0143,DD22BKQGWH,2024-08-22,432,11.40,6.42,151,7698.24
922,ST0224,DD22BKSTWH,2025-03-23,864,11.60,5.88,443,15102.72
968,ST0257,DD22BKSTWH,2025-05-17,1728,11.50,6.37,1728,30879.36
840,ST0141,DD22WHBEBK,2024-08-22,432,11.40,6.42,111,7698.24
839,ST0140,DD22WHGMBL,2024-08-22,432,11.40,6.42,194,7698.24
854,ST0155,DDCL16BGYR,2024-09-12,1320,8.60,3.87,844,16460.40
969,ST0258,DDCL16BGYR,2025-06-11,2016,7.50,4.84,2016,24877.44
855,ST0156,DDCL16PSTL,2024-09-12,1320,8.60,3.74,229,16288.80
942,ST0248,DDCL16PSTL,2025-05-12,1728,8.10,14.99,1728,39899.52
845,ST0146,DDCL20GRCS,2024-09-01,1899,10.50,6.46,222,32207.04
913,ST0215,DDCL20GRCS,2025-02-08,864,10.55,9.90,864,17668.80
768,ST0069,DDCL20OWCM,2023-11-20,1512,10.60,3.72,37,21651.84
910,ST0212,DDCL22PXBK,2025-01-28,1296,11.10,5.81,0,21915.36
943,ST0249,DDCL22PXBK,2025-05-10,1728,10.60,18.53,0,50336.64
941,ST0246,DDCL22PXBK,2025-05-19,1728,10.60,7.10,161,30585.60
989,ST0273,DDCL22PXBK,2025-07-01,1440,10.30,7.01,1440,24926.40
911,ST0213,DDCL4P4LBK,2025-01-28,1512,2.54,1.34,1170,5866.56
990,ST0274,DDCL4P4LBK,2025-07-01,1008,2.40,1.70,1008,4132.80
779,ST0080,DDCL4PWH4L,2023-12-14,2268,2.50,0.89,573,7688.52
988,ST0272,DDCL4PWH4L,2025-07-01,1008,2.40,1.67,1008,4102.56
726,ST0027,DDCLBGYR4P,2023-05-05,3276,2.54,0.91,721,11302.20
843,ST0144,DDCLWH22PX,2024-08-14,2100,11.10,5.35,672,34545.00
920,ST0222,DDCLWH22PX,2025-03-23,864,11.10,5.75,864,14558.40
987,ST0271,DDCLWH22PX,2025-07-01,1440,10.30,7.07,1440,25012.80
705,ST0006,DEKCSBLK1,2023-02-03,504,11.00,2.28,1,6693.12
844,ST0145,DPOT1512WT,2024-10-08,1001,1.83,1.55,515,3383.38
853,ST0154,ETKBK4P2ST,2024-10-23,1920,13.93,1.49,184,29606.40
940,ST0242,ETKBK4P2ST,2025-05-27,2100,13.00,2.42,2100,32382.00
900,ST0202,FBPT4YL24P,2025-02-21,2880,7.09,3.26,1234,29808.00
979,ST0260,FBPT4YL24P,2025-07-01,2880,7.09,4.43,2880,33177.60
740,ST0041,FPBD1713BW,2023-09-19,2000,3.14,0.24,406,6760.00
773,ST0074,FPBD1713BW,2024-01-18,1500,3.25,0.23,1500,5220.00
741,ST0042,FPBDMB1713,2023-09-19,2004,4.95,0.54,765,11001.96
774,ST0075,FPBDMB1713,2024-01-18,1200,4.95,0.37,1200,6384.00
771,ST0072,FPBDMW1713,2024-01-18,2400,4.95,0.37,739,12768.00
819,ST0120,FPBMB1713P,2024-07-15,2244,6.46,1.41,0,17660.28
862,ST0164,FPBMB1713P,2024-11-22,1500,6.34,1.94,1359,12420.00
805,ST0106,FPBMW1713H,2024-06-20,1500,6.61,1.58,596,12285.00
863,ST0165,FPBMW1713H,2024-11-22,2004,6.14,1.89,2004,16092.12
830,ST0131,GTBC131449,2024-09-24,1302,16.79,5.36,676,28839.30
902,ST0204,GTBC131449,2025-02-27,999,16.79,5.91,999,22677.30
992,ST0280,HBBA510342,2025-07-01,48,8.90,8.33,48,827.04
872,ST0174,KSB10008015,2024-12-06,4500,2.25,0.60,1777,12825.00
908,ST0210,KSB10008015,2025-02-22,3000,2.25,0.54,3000,8370.00
928,ST0230,LCSB843216,2025-05-14,510,3.21,1.64,212,2473.50
936,ST0238,LPGB60PC40,2025-05-16,2400,3.20,0.74,2121,9456.00
866,ST0168,LPGB7260PC,2024-11-26,2000,5.22,1.36,10,13160.00
901,ST0203,LPGB7260PC,2025-02-25,2400,5.22,1.17,2400,15336.00
931,ST0233,LPTSB11174,2025-05-14,1005,2.66,1.06,925,3738.60
837,ST0138,LSSB686242,2024-08-30,9600,1.92,0.46,0,22848.00
892,ST0194,LSSB686242,2025-01-23,7200,1.92,0.38,5971,16560.00
851,ST0152,LTBD10577A,2024-09-03,3360,3.70,1.96,1298,19017.60
761,ST0062,LTBD10577A,2024-11-16,1008,3.80,1.53,1008,5372.64
973,ST0245,OT1GLB1053,2025-06-24,1440,2.86,1.35,1367,6062.40
972,ST0244,OT2GLB1010,2025-06-24,1024,3.93,2.44,972,6522.88
971,ST0243,OT3GLB1016,2025-06-24,2520,4.91,3.59,2445,21420.00
929,ST0231,PBSB582835,2025-05-14,1005,2.39,0.74,860,3145.65
923,ST0225,PETS1KGRWB,2025-03-26,2160,8.00,4.24,1058,26438.40
970,ST0261,PETS1KGRWB,2025-06-24,2160,8.00,5.25,2160,28620.00
984,ST0268,PETS500FGR,2025-07-01,999,5.00,3.05,991,8041.95
963,ST0252,PKSPRTBW46,2025-06-12,576,2.80,1.63,496,2551.68
974,ST0247,PPSB4P2212,2025-06-05,2808,4.40,5.29,1545,27209.52
912,ST0214,PPST1000BK,2025-02-26,1500,4.15,2.26,994,9615.00
895,ST0197,QSB1006415,2025-02-12,9000,1.89,0.57,5649,22140.00
897,ST0199,RSBL912130,2025-02-12,3840,0.94,0.31,2924,4800.00
870,ST0172,RSBS692092,2024-12-06,3500,0.65,0.14,853,2765.00
896,ST0198,RSBS692092,2025-02-12,4200,0.65,0.19,4200,3528.00
861,ST0163,RTPBMB177H,2024-11-22,2000,12.79,1.98,1124,29540.00
730,ST0031,RTPBMB7717,2023-06-23,1002,10.47,1.33,16,11823.60
891,ST0193,SFSB966242,2025-01-23,7200,2.52,0.49,4385,21672.00
717,ST0018,STB345W12P,2023-05-04,1008,2.70,0.84,634,3568.32
760,ST0061,STBD10555A,2024-11-16,1008,3.39,1.06,0,4485.60
905,ST0207,STBD10555A,2025-02-27,1800,3.29,1.54,1677,8694.00
875,ST0177,TBDCL10105,2024-12-02,1728,6.71,2.41,0,15759.36
906,ST0208,TBDCL10105,2025-02-27,2688,6.71,3.06,2015,26261.76
778,ST0079,TCBP17BKGD,2024-03-07,801,17.00,6.06,2,18471.06
829,ST0130,TCBP17BKGD,2024-10-24,999,17.00,6.95,999,23926.05
881,ST0183,TCST17132B,2025-01-09,3000,2.53,1.76,211,12870.00
937,ST0239,TCST17132B,2025-05-10,4470,2.42,6.00,4470,37637.40
883,ST0185,TWBD1064BK,2025-01-15,2136,3.21,1.02,992,9035.28
983,ST0265,TWBD1064BK,2025-07-01,2640,3.06,1.72,2640,12619.20
873,ST0175,TWSB954215,2024-12-06,4500,1.36,0.34,2298,7650.00
909,ST0211,TWSB954215,2025-02-22,3000,1.36,0.33,3000,5070.00
849,ST0150,USBL1215ZL,2024-10-16,2016,1.71,0.49,1844,4435.20
848,ST0149,USBS7115ZL,2024-10-16,2010,1.20,0.40,1313,3216.00
898,ST0200,USBS7115ZL,2025-02-12,3240,1.20,0.39,3240,5151.60
880,ST0182,WVST1000WH,2025-01-09,1600,11.80,2.42,1161,22752.00
