PO_Number,SKU,Received_Date,Original_Unit_Qty,Unit_Price,Actual_Freight_Cost_Per_Unit,remaining_unit_qty
ST0250,CP110342BK,2025-06-12,1440,1.83,1.1,1440
ST0251,CP11034DDB,2025-06-12,480,1.93,1.13,480
ST0252,PKSPRTBW46,2025-06-12,576,2.8,1.63,576
ST0253,CP110TGR34,2025-06-12,1620,2.4,1.26,1620
ST0254,CP510TGR34,2025-06-12,672,10.5,5.54,672
ST0255,CDPS110342,2025-06-12,2880,1.83,1.09,2880
ST0256,CDPS510342,2025-06-12,504,8.35,4.9,504
ST0257,DD22BKSTWH,2025-05-17,1728,11.5,6.37,1728
ST0258,DDCL16BGYR,2025-06-11,2016,7.5,4.84,2016
ST0261,PETS1KGRWB,2025-06-24,2160,8.0,5.25,2160
