sku,units moved,Month
FBA17PNHJT79.missing1,0.00,4/30/25
Amazon.Found.B0CBL64K8M,1.00,4/30/25
DDCLWH22PX,494.00,4/30/25
FBPT4YL24P,654.00,4/30/25
CDPS110342,1456.00,4/30/25
CDPS510342,385.00,4/30/25
CLCDBEIGE1,224.00,4/30/25
PETS1KGRWB,598.00,4/30/25
RTPBMB7717,0.00,4/30/25
FPBD1713BW,122.00,4/30/25
FPBDMB1713,149.00,4/30/25
DDCL16BGYR,319.00,4/30/25
DDCL4PWH4L,291.00,4/30/25
DDCLBGYR4P,128.00,4/30/25
LPGB7260PC,370.00,4/30/25
CDPS110462,906.00,4/30/25
CDPS510462,239.00,4/30/25
DDCL4P4LBK,402.00,4/30/25
DDCL22PXBK,1917.00,4/30/25
TCBP17BKGD,0.00,4/30/25
CRNR3TDSBW,-3.00,4/30/25
FPBDMW1713,172.00,4/30/25
FPBMW1713H,106.00,4/30/25
FPBMB1713P,248.00,4/30/25
BPNLNRPD70,306.00,4/30/25
LSSB686242,1107.00,4/30/25
SFSB966242,1300.00,4/30/25
CRSB654243,2179.00,4/30/25
DDCL16PSTL,147.00,4/30/25
3GLBD16104,1326.00,4/30/25
LTBD10577A,146.00,4/30/25
STBD10555A,252.00,4/30/25
DDCL20GRCS,403.00,4/30/25
DDCL20OWCM,99.00,4/30/25
RTPBMB177H,181.00,4/30/25
CP110TGR34,363.00,4/30/25
CP110DMH34,194.00,4/30/25
CP510DMH34,67.00,4/30/25
CP510TGR34,117.00,4/30/25
ETKBK4P2ST,250.00,4/30/25
LPGB60PC40,467.00,4/30/25
2GLBD10310,748.00,4/30/25
1GLBD10354,666.00,4/30/25
4PPB1261BH,240.00,4/30/25
WVST1000WH,158.00,4/30/25
QSB1006415,940.00,4/30/25
RSBS692092,329.00,4/30/25
RSBL912130,625.00,4/30/25
TCST17132B,699.00,4/30/25
GTBC131449,86.00,4/30/25
TBDCL10105,259.00,4/30/25
DD22BKQGWH,84.00,4/30/25
DD22BKSTWH,407.00,4/30/25
DD22WHBEBK,91.00,4/30/25
DD22WHGMBL,96.00,4/30/25
DPOT1512WT,29.00,4/30/25
5GBLNR1925,221.00,4/30/25
USBS7115ZL,61.00,4/30/25
CMSB66297T,212.00,4/30/25
USBL1215ZL,7.00,4/30/25
34CSK11055,269.00,4/30/25
KSB10008015,546.00,4/30/25
TWSB954215,266.00,4/30/25
CSK4611055,465.00,4/30/25
TWBD1064BK,396.00,4/30/25
PPSB4P2212,465.00,4/30/25
1TCST1713B,567.00,4/30/25
CDPS50P385,40.00,4/30/25
CLCDLEOPR1,74.00,4/30/25
PPST1000BK,116.00,4/30/25
,#VALUE!,4/30/25
,#VALUE!,4/30/25
